CusAgeYr,CusGen,LevEdn,LevIncome,CusChoice,ConstUp,ReplacReminder,ProInsuCov,CusAcct,ProdReturn,cluster_kmeans
40,1,3,2,5,5,3,3,1,3,2
39,1,3,3,5,4,3,2,1,4,2
34,1,2,5,4,4,7,6,1,5,1
35,1,1,3,3,1,3,3,1,5,2
25,1,1,5,4,5,6,4,1,5,1
41,0,1,4,7,3,3,3,1,3,2
34,1,1,4,6,5,6,6,1,5,1
25,1,1,4,5,4,7,6,1,5,1
39,0,2,5,5,4,4,5,1,3,2
44,1,1,2,3,3,1,3,0,1,2
39,0,3,3,5,5,3,2,0,3,2
40,1,1,2,4,4,5,4,0,5,1
40,0,1,3,3,4,4,2,0,4,2
36,1,2,5,7,7,6,7,1,3,1
39,0,1,4,1,4,7,3,0,6,1
46,0,1,3,5,4,2,2,1,2,2
25,1,1,2,4,5,3,2,0,4,2
31,1,1,1,6,5,4,4,0,5,1
27,1,1,2,3,5,5,4,1,6,1
36,0,2,3,7,6,3,4,0,4,1
32,1,1,2,6,2,4,3,1,5,1
35,1,1,3,6,4,6,6,1,4,1
32,0,1,3,4,4,4,3,0,4,2
40,1,2,5,7,7,1,6,0,1,2
39,0,1,3,4,3,4,1,1,4,2
37,1,1,3,4,4,4,3,1,5,2
39,1,2,5,7,5,6,6,1,4,1
41,1,2,5,5,4,7,6,1,5,1
37,1,1,3,6,5,5,1,0,4,1
42,1,1,3,2,1,2,2,1,4,2
33,0,1,3,5,4,4,2,0,4,2
37,1,1,4,5,5,4,6,0,2,1
37,1,2,3,5,4,7,6,0,5,1
45,0,2,4,5,4,5,6,1,3,1
39,1,2,4,6,4,7,6,1,5,1
42,0,1,3,4,3,4,2,0,3,2
47,1,1,4,4,5,2,5,1,1,2
33,1,2,3,5,5,4,4,0,4,1
33,1,1,3,4,2,4,2,1,3,2
25,1,1,5,5,4,6,4,1,5,1
37,1,2,3,7,7,5,6,0,3,1
37,1,2,4,3,6,4,4,1,3,2
31,1,2,2,4,4,5,4,0,5,1
34,1,1,3,6,6,3,3,1,2,2
25,1,1,2,6,6,5,2,0,5,1
45,1,1,2,4,7,3,3,0,2,2
42,0,1,3,3,5,3,5,1,3,2
38,1,2,5,7,4,4,4,0,4,1
27,0,2,5,4,3,6,5,1,6,1
37,0,1,3,3,3,3,5,1,4,2
44,0,2,5,5,5,2,6,1,2,2
25,1,1,2,5,5,6,3,0,4,1
32,1,2,3,5,5,6,6,0,5,1
39,1,1,4,1,1,1,1,1,2,2
30,1,1,4,6,4,5,4,1,6,1
47,0,1,4,6,4,5,4,0,4,1
40,0,1,3,5,4,7,4,1,3,1
38,0,2,3,5,7,3,4,1,4,1
32,0,1,4,4,4,6,3,1,3,1
35,0,2,3,6,6,5,5,1,3,1
